image_id,label
00008.jpg,C
00017.jpg,C
00018.jpg,C
00023.jpg,A
00024.jpg,A
00031.jpg,A
00046.jpg,A
00048.jpg,A
00062.jpg,A
00067.jpg,A
00070.jpg,A
00080.jpg,A
00093.jpg,A
00095.jpg,A
00100.jpg,A
00107.jpg,A
00113.jpg,A
00120.jpg,B
00131.jpg,A
00134.jpg,A
00141.jpg,C
00142.jpg,C
00148.jpg,A
00150.jpg,A
00154.jpg,A
00162.jpg,B
00164.jpg,C
00167.jpg,A
00177.jpg,A
00196.jpg,A
00198.jpg,A
00215.jpg,A
00216.jpg,C
00226.jpg,A
00237.jpg,A
00246.jpg,A
00251.jpg,A
00262.jpg,A
00267.jpg,B
00269.jpg,A
00272.jpg,A
00275.jpg,A
00277.jpg,A
00283.jpg,C
00292.jpg,A
00297.jpg,C
00298.jpg,A
00308.jpg,C
00316.jpg,A
00337.jpg,B
00343.jpg,A
00345.jpg,A
00346.jpg,A
00348.jpg,C
00350.jpg,C
00351.jpg,A
00358.jpg,B
00365.jpg,A
00373.jpg,A
00374.jpg,A
00380.jpg,A
00389.jpg,C
00396.jpg,A
00399.jpg,A
00401.jpg,A
00402.jpg,C
00418.jpg,C
00430.jpg,A
00444.jpg,A
00468.jpg,A
00471.jpg,C
00475.jpg,A
00496.jpg,B
00500.jpg,C
00501.jpg,A
00503.jpg,C
00522.jpg,A
00524.jpg,A
00527.jpg,B
00536.jpg,A
00568.jpg,A
00570.jpg,A
00581.jpg,A
00584.jpg,A
00586.jpg,C
00601.jpg,B
00603.jpg,A
00610.jpg,A
00619.jpg,A
00626.jpg,A
00629.jpg,A
00636.jpg,A
00660.jpg,A
00661.jpg,A
00672.jpg,A
00674.jpg,A
00680.jpg,A
00695.jpg,A
00702.jpg,C
00713.jpg,A
00717.jpg,A
00718.jpg,B
00727.jpg,A
00749.jpg,B
00750.jpg,C
00776.jpg,A
00783.jpg,A
00789.jpg,A
00790.jpg,A
00804.jpg,A
00811.jpg,A
00818.jpg,B
00822.jpg,A
00828.jpg,A
00845.jpg,C
00848.jpg,C
00855.jpg,A
00860.jpg,C
00863.jpg,A
00869.jpg,A
00883.jpg,C
00899.jpg,A
00905.jpg,C
