individual:  [65.0, 504.0, 50.0, 32.0, 1122.0, 74.0]  value:  (0.75625,)
gen	nevals	avg     	std     	min    	max    
0  	2     	0.736875	0.004375	0.7325 	0.74125
1  	2     	0.75125 	0       	0.75125	0.75125
2  	2     	0.715   	0       	0.715  	0.715  
3  	2     	0.714375	0.006875	0.7075 	0.72125
4  	2     	0.715   	0.00375 	0.71125	0.71875
5  	2     	0.70625 	0       	0.70625	0.70625
6  	2     	0.7225  	0       	0.7225 	0.7225 
7  	2     	0.7475  	0       	0.7475 	0.7475 
8  	2     	0.72875 	0       	0.72875	0.72875
9  	2     	0.7175  	0       	0.7175 	0.7175 
10 	2     	0.73    	0       	0.73   	0.73   
11 	2     	0.73625 	0       	0.73625	0.73625
12 	2     	0.73875 	0       	0.73875	0.73875
13 	2     	0.74125 	0       	0.74125	0.74125
14 	2     	0.745   	0       	0.745  	0.745  
15 	2     	0.72375 	0       	0.72375	0.72375
16 	2     	0.74875 	0       	0.74875	0.74875
17 	2     	0.75    	0       	0.75   	0.75   
18 	2     	0.74875 	0       	0.74875	0.74875
19 	2     	0.72375 	0       	0.72375	0.72375
20 	2     	0.56875 	0.12625 	0.4425 	0.695  
21 	2     	0.7225  	0       	0.7225 	0.7225 
22 	2     	0.731875	0.015625	0.71625	0.7475 
23 	2     	0.73125 	0       	0.73125	0.73125
24 	2     	0.72375 	0       	0.72375	0.72375
25 	2     	0.75125 	0       	0.75125	0.75125
26 	2     	0.73875 	0       	0.73875	0.73875
27 	2     	0.75625 	0       	0.75625	0.75625
28 	2     	0.745   	0       	0.745  	0.745  
29 	2     	0.75    	0       	0.75   	0.75   
30 	2     	0.74    	0       	0.74   	0.74   
