individual:  [39, 356, 250, 95, 360, 566]  value:  (0.5525,)
gen	nevals	avg     	std       	min    	max    
0  	4     	0.490312	0.0126669 	0.47625	0.50875
1  	6     	0.516563	0.0146142 	0.49125	0.525  
2  	6     	0.515   	0.00618718	0.50625	0.52375
3  	6     	0.533125	0.018403  	0.50125	0.54375
4  	6     	0.535625	0.00974279	0.51875	0.54125
5  	6     	0.503437	0.00270633	0.49875	0.505  
6  	6     	0.537813	0.00510629	0.53375	0.54625
7  	6     	0.512188	0.011053  	0.505  	0.53125
8  	6     	0.515313	0.00932801	0.50875	0.53125
9  	6     	0.530312	0.0222095 	0.4925 	0.54625
10 	6     	0.49125 	0.0101165 	0.47375	0.4975 
11 	6     	0.517813	0.00746738	0.505  	0.52375
12 	6     	0.49875 	0.00795495	0.49125	0.51   
13 	6     	0.494375	0.0132435 	0.4725 	0.5075 
14 	6     	0.5075  	0.00216506	0.50375	0.50875
15 	6     	0.489375	0.0180386 	0.4625 	0.50875
16 	6     	0.5075  	0.0025    	0.505  	0.51   
17 	6     	0.496875	0.0179735 	0.47125	0.51375
18 	6     	0.520625	0.0119078 	0.51375	0.54125
19 	6     	0.52375 	0.0216506 	0.48625	0.53625
20 	6     	0.518125	0.006875  	0.51125	0.525  
21 	6     	0.517188	0.0102841 	0.51125	0.535  
22 	6     	0.519063	0.00741488	0.50625	0.52375
23 	6     	0.515312	0.00932801	0.5075 	0.53125
24 	6     	0.521563	0.0276046 	0.47375	0.5375 
25 	6     	0.511563	0.00997556	0.4975 	0.52375
26 	6     	0.516875	0.00272431	0.51375	0.52125
27 	6     	0.50625 	0.0298826 	0.4725 	0.55125
28 	6     	0.508125	0.0032476 	0.5025 	0.51   
29 	6     	0.522813	0.0016238 	0.52   	0.52375
30 	6     	0.513437	0.0217294 	0.47875	0.5375 
