individual:  [153, 348, 489, 282, 1646, 502]  value:  (0.7675,)
gen	nevals	avg     	std       	min    	max    
0  	4     	0.736875	0.00836193	0.7225 	0.7425 
1  	8     	0.748125	0.00615554	0.7375 	0.7525 
2  	8     	0.747812	0.0103974 	0.7375 	0.765  
3  	8     	0.750937	0.00310934	0.74625	0.755  
4  	8     	0.7475  	0.0166536 	0.72625	0.765  
5  	8     	0.747812	0.00844907	0.73875	0.75625
6  	8     	0.739688	0.00915897	0.72875	0.74875
7  	8     	0.741875	0.0148034 	0.73   	0.76625
8  	8     	0.724688	0.0149837 	0.7075 	0.74875
9  	8     	0.737812	0.0168489 	0.71   	0.75125
10 	8     	0.734688	0.00703646	0.7225 	0.73875
11 	8     	0.728125	0.005625  	0.7225 	0.73375
12 	8     	0.73625 	0.00649519	0.725  	0.74   
13 	8     	0.7325  	0.0170935 	0.70875	0.74875
14 	8     	0.75125 	0.0081968 	0.7375 	0.7575 
15 	8     	0.755625	0.00664384	0.74625	0.765  
16 	8     	0.75625 	0.00537645	0.75   	0.76375
17 	8     	0.751562	0.00898675	0.73875	0.76   
18 	8     	0.7475  	0.0108253 	0.72875	0.75375
19 	8     	0.75    	0.0025    	0.7475 	0.7525 
20 	8     	0.73625 	0.0133463 	0.71375	0.74625
21 	8     	0.75375 	0.0075    	0.74625	0.76125
22 	8     	0.73375 	0.00306186	0.72875	0.73625
23 	8     	0.733125	0.00108253	0.73125	0.73375
24 	8     	0.745625	0.0152197 	0.72   	0.76   
25 	8     	0.73625 	0.00931229	0.7225 	0.74875
26 	8     	0.748437	0.00487139	0.74   	0.75125
27 	8     	0.730313	0.00310934	0.725  	0.7325 
28 	8     	0.733125	0.005625  	0.7275 	0.73875
29 	8     	0.75125 	0.00515388	0.7475 	0.76   
30 	8     	0.745   	0.00579601	0.7375 	0.75375
