gen	nevals	Avg        	Std        	Min         	Max        
0  	100   	1.57199e+07	2.05477e+09	-5.77368e+09	4.97032e+09
1  	79    	1.26393e+09	1.79883e+09	-3.76783e+09	4.74861e+09
2  	72    	2.07726e+09	1.41265e+09	-2.23879e+09	5.32015e+09
3  	69    	2.84108e+09	1.26382e+09	-1.41065e+09	5.31794e+09
4  	78    	3.33509e+09	1.22879e+09	-1.36942e+08	5.92937e+09
5  	74    	3.39682e+09	1.60621e+09	-1.10837e+09	6.23605e+09
6  	76    	3.66867e+09	1.66353e+09	-3.05153e+09	6.73811e+09
7  	76    	4.00964e+09	1.46116e+09	-5.81623e+08	7.0641e+09 
8  	72    	4.49562e+09	1.4957e+09 	2.22873e+08 	7.0641e+09 
9  	79    	4.92992e+09	1.49584e+09	4.76653e+08 	8.45206e+09
10 	87    	4.59167e+09	1.87938e+09	-2.76444e+08	7.86652e+09
11 	81    	5.0833e+09 	1.58813e+09	-5.38071e+08	7.74703e+09
12 	83    	5.11852e+09	1.78299e+09	-1.06253e+09	7.74703e+09
13 	75    	5.34172e+09	1.60046e+09	7.86898e+08 	9.0221e+09 
14 	76    	5.71958e+09	1.8367e+09 	-1.06876e+09	9.0221e+09 
15 	83    	5.90756e+09	1.92183e+09	-1.511e+09  	8.66129e+09
16 	68    	6.5528e+09 	1.66073e+09	6.88148e+07 	9.05612e+09
17 	77    	6.64176e+09	1.80332e+09	5.91982e+08 	9.35739e+09
18 	75    	6.89544e+09	1.88726e+09	-4.13618e+08	9.4389e+09 
19 	64    	7.58019e+09	1.48887e+09	2.26704e+09 	1.00875e+10
20 	70    	8.11383e+09	1.19423e+09	2.68184e+09 	1.00875e+10
21 	76    	8.24104e+09	1.38407e+09	2.31092e+09 	1.03333e+10
22 	76    	8.50484e+09	1.19621e+09	4.07408e+09 	1.02999e+10
23 	75    	8.78278e+09	1.18875e+09	5.01573e+09 	1.09457e+10
24 	60    	8.91518e+09	1.26129e+09	5.67291e+09 	1.09457e+10
25 	80    	9.13827e+09	1.35405e+09	5.28938e+09 	1.1499e+10 
26 	79    	9.72149e+09	1.1501e+09 	3.9363e+09  	1.1499e+10 
27 	80    	9.82397e+09	1.35259e+09	5.39833e+09 	1.15913e+10
28 	77    	1.01162e+10	1.0728e+09 	6.09781e+09 	1.15913e+10
29 	76    	1.03603e+10	1.1295e+09 	5.03477e+09 	1.16525e+10
30 	64    	1.04997e+10	9.74688e+08	7.84391e+09 	1.15913e+10
31 	75    	1.07809e+10	8.62087e+08	7.41964e+09 	1.20363e+10
32 	81    	1.07025e+10	1.05592e+09	7.48075e+09 	1.19338e+10
33 	73    	1.10318e+10	1.00076e+09	7.48658e+09 	1.24414e+10
34 	87    	1.14468e+10	6.81115e+08	8.24013e+09 	1.24414e+10
35 	71    	1.17154e+10	4.39809e+08	9.19913e+09 	1.25064e+10
36 	79    	1.18858e+10	3.77969e+08	9.72123e+09 	1.25064e+10
37 	76    	1.20203e+10	4.49652e+08	8.73299e+09 	1.25166e+10
38 	80    	1.21654e+10	2.89096e+08	1.04869e+10 	1.26604e+10
39 	75    	1.21486e+10	4.77709e+08	1.00594e+10 	1.26604e+10
40 	69    	1.22192e+10	4.27396e+08	1.01361e+10 	1.28944e+10
41 	82    	1.22104e+10	5.28044e+08	9.41135e+09 	1.29213e+10
42 	76    	1.22131e+10	6.48957e+08	8.69991e+09 	1.30651e+10
