gen	nevals	Avg     	Std       	Min    	Max    
0  	6     	0.498333	0.0784374 	0.325  	0.55125
1  	6     	0.549583	0.0166875 	0.52875	0.5825 
2  	2     	0.499167	0.0849009 	0.3325 	0.5825 
3  	3     	0.540625	0.0555407 	0.42125	0.5825 
4  	6     	0.548125	0.0315713 	0.4825 	0.57625
5  	4     	0.53875 	0.0914068 	0.34   	0.6125 
6  	6     	0.587917	0.0857888 	0.41625	0.66875
7  	4     	0.60125 	0.120927  	0.34   	0.70625
8  	4     	0.651458	0.0796359 	0.47875	0.7075 
9  	6     	0.629375	0.119371  	0.3725 	0.73375
10 	6     	0.68125 	0.0715964 	0.525  	0.74375
11 	4     	0.7025  	0.0192435 	0.675  	0.72375
12 	2     	0.722708	0.0110966 	0.7175 	0.7475 
13 	6     	0.746667	0.00493007	0.74   	0.75375
14 	4     	0.702708	0.069445  	0.5625 	0.75375
15 	6     	0.708542	0.0314445 	0.665  	0.75   
16 	5     	0.61625 	0.152618  	0.36625	0.75   
17 	3     	0.645   	0.13682   	0.44875	0.75125
18 	4     	0.646042	0.137506  	0.4025 	0.75125
19 	3     	0.744375	0.0280323 	0.69   	0.775  
20 	6     	0.674792	0.125236  	0.4725 	0.77625
21 	4     	0.7025  	0.119321  	0.43875	0.77625
22 	6     	0.710833	0.116337  	0.45125	0.77625
23 	3     	0.73875 	0.0486859 	0.6325 	0.7675 
24 	3     	0.77125 	0.0110397 	0.76   	0.79375
25 	6     	0.671458	0.0831459 	0.56   	0.76625
26 	6     	0.735625	0.0257365 	0.70375	0.77125
27 	6     	0.763542	0.018077  	0.72625	0.7825 
28 	4     	0.768333	0.0219572 	0.73125	0.7925 
29 	4     	0.769583	0.0126381 	0.75   	0.7825 
30 	5     	0.77375 	0.0135401 	0.7575 	0.79625
