,image_id,grade,pos_x,pos_y,width,height
28817,49994.jpg,C,289,196,426,365
37527,35700.jpg,A,566,218,269,258
42639,38538.jpg,A,472,179,278,232
4261,71992.jpg,C,40,6,790,714
10381,91909.jpg,A,409,231,328,295
36576,58425.jpg,A,579,103,304,266
43304,53545.jpg,A,424,407,380,264
18444,44910.jpg,A,451,166,434,333
29482,63981.jpg,A,224,49,474,394
11627,06047.jpg,A,378,260,339,281
4892,82028.jpg,A,6,8,703,591
44123,80045.jpg,A,462,447,286,245
42609,63649.jpg,B,476,302,281,252
39694,77348.jpg,A,302,31,466,541
442,95883.jpg,A,240,102,603,549
31124,20908.jpg,A,359,248,331,254
18070,33626.jpg,A,521,146,456,387
44594,86177.jpg,C,455,369,400,314
12515,03224.jpg,A,142,328,362,330
44771,92591.jpg,A,488,217,333,311
18651,60432.jpg,A,486,29,445,378
28065,34757.jpg,A,279,153,516,443
41763,48925.jpg,A,504,57,284,276
16158,39028.jpg,C,569,196,515,517
26027,32206.jpg,C,342,67,442,327
10555,06268.jpg,A,449,208,266,222
34204,68561.jpg,A,236,11,689,709
16978,97289.jpg,A,517,19,420,518
28947,17140.jpg,A,236,165,490,337
16155,25393.jpg,A,548,160,460,543
24342,50928.jpg,B,814,164,381,386
38896,68464.jpg,A,415,47,345,248
9271,65058.jpg,A,409,285,294,215
15581,52677.jpg,A,349,132,594,547
32706,68588.jpg,A,449,265,215,279
35862,83041.jpg,A,125,81,813,615
35205,97203.jpg,A,234,41,715,679
24188,85364.jpg,B,695,178,377,359
28409,09088.jpg,A,226,118,521,376
1952,99077.jpg,B,136,70,509,487
31105,33282.jpg,A,392,76,250,268
23810,87219.jpg,A,623,167,313,410
17629,49868.jpg,C,507,64,447,552
32748,08296.jpg,A,390,306,266,244
19429,84102.jpg,A,381,128,559,444
3010,03500.jpg,C,9,7,825,713
35018,75858.jpg,B,224,13,634,707
4101,96409.jpg,B,2,3,745,717
6541,28071.jpg,C,338,103,498,509
20704,59370.jpg,A,474,69,463,396
12285,09197.jpg,A,137,158,462,300
16934,99299.jpg,A,551,106,507,516
18758,34937.jpg,A,415,308,441,339
23482,96800.jpg,C,200,111,462,385
37896,01421.jpg,A,526,162,342,238
31807,98891.jpg,A,294,24,400,315
25516,37842.jpg,B,331,155,415,448
38030,81857.jpg,B,517,212,277,274
31349,93043.jpg,A,405,180,270,230
11598,95289.jpg,B,398,234,296,270
21049,74787.jpg,A,420,34,432,375
28802,78292.jpg,B,235,62,529,355
43013,61119.jpg,B,507,201,293,231
9819,83539.jpg,A,406,410,302,240
11423,86768.jpg,A,389,205,338,306
9327,16592.jpg,A,423,255,316,247
30637,82596.jpg,C,544,128,413,255
6724,35558.jpg,A,310,31,677,539
36278,95618.jpg,B,476,119,320,323
7607,37739.jpg,C,509,117,332,267
5391,46552.jpg,C,1,17,714,656
29857,47740.jpg,A,272,360,378,306
4682,77748.jpg,B,4,8,771,665
4156,53001.jpg,C,6,9,807,711
43871,21075.jpg,A,487,296,258,287
4910,96750.jpg,A,11,17,813,667
26347,17938.jpg,A,369,259,354,289
29114,90574.jpg,C,276,202,381,391
27332,08599.jpg,A,316,368,454,352
10842,65441.jpg,A,440,396,279,262
583,61349.jpg,A,249,271,407,439
28893,78935.jpg,A,209,183,479,428
30557,50427.jpg,A,310,309,482,327
7521,54184.jpg,B,491,196,352,325
31596,78611.jpg,A,397,225,327,269
3961,04026.jpg,C,31,6,928,714
19974,05802.jpg,A,531,49,399,359
15507,07945.jpg,A,292,56,524,597
13104,22933.jpg,A,54,106,478,430
13253,53551.jpg,B,38,157,470,416
21866,28494.jpg,C,443,40,490,361
37973,07583.jpg,A,536,160,334,276
39518,37501.jpg,A,280,58,532,523
39059,67824.jpg,A,287,187,568,468
41927,92263.jpg,B,448,122,294,259
2972,20903.jpg,A,5,2,817,718
31590,59232.jpg,B,385,203,268,250
30745,70375.jpg,B,566,65,385,231
28331,12126.jpg,A,365,148,478,371
9770,72277.jpg,A,425,329,298,246
15467,18726.jpg,A,437,102,452,572
13155,62758.jpg,A,58,113,465,458
3092,25590.jpg,A,7,3,929,717
2598,78744.jpg,C,86,292,408,382
41050,38875.jpg,A,506,408,257,212
27670,94064.jpg,C,389,263,441,372
20055,36140.jpg,A,374,224,494,389
39933,58232.jpg,A,251,118,524,468
26603,80722.jpg,A,358,162,341,305
1862,70690.jpg,A,255,31,579,565
20433,89855.jpg,A,501,239,390,360
35570,97962.jpg,A,304,109,649,567
11480,57822.jpg,C,376,210,328,261
28125,84746.jpg,B,293,121,470,384
21909,15321.jpg,A,450,117,450,359
9092,04542.jpg,A,451,310,269,202
36256,25057.jpg,B,453,92,344,346
15583,89833.jpg,A,398,106,503,517
18678,83752.jpg,A,504,143,396,390
17383,67190.jpg,A,530,137,511,408
37435,28406.jpg,A,556,117,369,292
15814,37551.jpg,A,530,110,419,473
32880,44212.jpg,A,382,398,294,248
4726,35531.jpg,B,8,7,776,713
14990,45304.jpg,A,25,161,555,404
481,73878.jpg,A,286,94,543,549
40460,76427.jpg,A,298,45,481,425
32844,60684.jpg,A,366,234,263,266
22769,33888.jpg,B,231,74,404,378
18812,97865.jpg,A,418,268,524,390
39304,92316.jpg,A,325,69,517,508
16316,34409.jpg,A,454,49,467,496
43401,98397.jpg,A,410,61,493,320
26086,04482.jpg,B,378,78,416,321
39842,72638.jpg,A,256,66,489,527
39710,56642.jpg,A,308,50,561,485
12763,66138.jpg,A,6,64,445,411
14139,38141.jpg,C,36,126,659,419
30165,41256.jpg,A,323,403,402,246
19717,21823.jpg,A,528,45,379,328
17081,93641.jpg,A,508,48,429,447
22995,92341.jpg,A,321,133,433,388
8239,77529.jpg,A,426,288,371,264
41776,42089.jpg,B,510,127,268,283
30493,21209.jpg,C,327,392,420,289
30215,07515.jpg,A,306,422,399,298
10127,27477.jpg,A,442,314,290,248
32994,53368.jpg,A,406,326,234,246
5853,25125.jpg,C,76,6,876,714
6640,33285.jpg,A,379,149,544,534
41250,19096.jpg,A,453,266,292,236
4889,00996.jpg,A,5,3,780,717
24642,92042.jpg,A,302,139,406,411
15035,17151.jpg,C,0,133,595,487
3050,61575.jpg,A,59,2,881,718
741,32401.jpg,A,215,176,460,502
11687,33287.jpg,C,135,310,453,320
9229,85695.jpg,A,469,242,266,214
38890,13234.jpg,A,375,282,379,276
19842,63978.jpg,A,486,258,504,335
3164,88953.jpg,A,5,3,878,717
28302,57734.jpg,A,243,298,571,422
26120,09255.jpg,A,423,218,383,293
22875,50735.jpg,A,230,51,475,388
22639,70436.jpg,A,242,94,470,381
12279,45355.jpg,A,114,190,347,314
6585,41853.jpg,A,425,114,476,544
8681,12315.jpg,A,406,387,309,242
34237,58342.jpg,B,185,13,659,666
29446,04053.jpg,A,319,209,433,328
25339,56579.jpg,B,582,208,428,453
7671,76096.jpg,A,540,147,279,247
43273,26629.jpg,A,493,451,323,229
